City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Dunedin,NZ,2021-09-21 21:37:40,-45.8742,170.5036,50.68,61,3,0.27
67,Ceyhan,TR,2021-09-21 21:41:05,37.0247,35.8175,77.63,83,0,0.98
68,Port Lincoln,AU,2021-09-21 21:41:05,-34.7333,135.8667,53.65,80,67,4.41
69,Port Shepstone,ZA,2021-09-21 21:40:47,-30.7414,30.455,62.85,66,100,8.01
70,Tupik,RU,2021-09-21 21:41:06,54.4253,119.9327,44.38,96,15,2.62
71,Upernavik,GL,2021-09-21 21:41:06,72.7868,-56.1549,20.59,53,21,5.7
72,Khatanga,RU,2021-09-21 21:41:06,71.9667,102.5,34.57,81,65,12.88
73,Yellowknife,CA,2021-09-21 21:37:50,62.456,-114.3525,52.32,71,90,16.11
74,Northam,GB,2021-09-21 21:41:06,51.0333,-4.2167,58.01,94,100,1.74
75,New Norfolk,AU,2021-09-21 21:39:19,-42.7826,147.0587,57.76,77,58,5.61
76,Aleksandrovsk-Sakhalinskiy,RU,2021-09-21 21:41:07,50.8975,142.1561,50.68,85,100,7.92
77,Dudinka,RU,2021-09-21 21:41:07,69.4058,86.1778,31.42,83,100,18.41
78,Avarua,CK,2021-09-21 21:41:07,-21.2078,-159.775,73.45,78,75,12.66
79,Berezanka,UA,2021-09-21 21:41:08,46.8526,31.388,49.55,63,35,10.85
80,Pudozh,RU,2021-09-21 21:41:08,61.8099,36.5345,35.46,94,100,5.66
81,Carnarvon,AU,2021-09-21 21:41:08,-24.8667,113.6333,53.67,94,0,6.91
82,Grants,US,2021-09-21 21:41:09,35.1473,-107.8514,73.63,14,1,3.44
83,Lebu,CL,2021-09-21 21:41:09,-37.6167,-73.65,53.6,74,0,4.74
84,Maceio,BR,2021-09-21 21:41:09,-9.6658,-35.7353,78.24,83,0,9.22
85,Hanko,FI,2021-09-21 21:41:09,59.8333,22.95,42.84,70,33,7.56
86,Lata,PT,2021-09-21 21:41:10,40.1629,-8.3327,69.82,51,0,6.13
87,Qaanaaq,GL,2021-09-21 21:41:10,77.484,-69.3632,12.42,72,12,7.31
