City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Baykit,RU,61.67,96.37,33.93,97,100,5.26,light rain
80,Numan,NG,9.4667,12.0333,83.39,74,85,1.74,overcast clouds
81,Kozhva,RU,65.1073,57.0459,40.57,92,100,3.85,overcast clouds
82,Castro,BR,-24.7911,-50.0119,68.36,39,32,6.2,scattered clouds
83,Qaanaaq,GL,77.484,-69.3632,18.7,62,18,5.66,few clouds
84,Norman Wells,CA,65.282,-126.8329,28.44,100,75,3.44,broken clouds
85,Bandarbeyla,SO,9.4942,50.8122,78.58,82,70,25.81,broken clouds
86,Okahandja,NA,-21.9833,16.9167,95.31,6,36,15.57,scattered clouds
87,Salumbar,IN,24.1333,74.05,79.14,85,87,2.8,overcast clouds
88,Kjollefjord,NO,70.9457,27.3465,48.02,66,40,11.5,scattered clouds
89,Bereda,ES,43.2686,-7.5406,72,76,50,8.34,scattered clouds
90,Ahipara,NZ,-35.1667,173.1667,56.73,89,100,18.86,overcast clouds
91,Vicuna,CL,-30.0319,-70.7081,86.77,6,0,7.67,clear sky
92,Luderitz,NA,-26.6481,15.1594,63.91,64,1,17.05,clear sky
93,Narsaq,GL,60.9167,-46.05,41.22,56,46,5.75,scattered clouds
94,San Quintin,MX,30.4833,-115.95,76.73,66,76,6.73,broken clouds
95,Ponta Delgada,PT,37.7333,-25.6667,72.32,68,75,11.5,broken clouds
96,Ekhabi,RU,53.5102,142.9671,48.04,89,99,9.82,overcast clouds
97,Poum,NC,-20.2333,164.0167,68.88,67,69,15.84,broken clouds
98,Olafsvik,IS,64.8945,-23.7142,40.35,97,100,18.72,overcast clouds
99,Juneau,US,58.3019,-134.4197,45.84,92,90,21.85,light rain
100,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,96,10.31,overcast clouds
101,Port Alfred,ZA,-33.5906,26.891,70.3,56,100,12.82,overcast clouds
102,Bilma,NE,18.6853,12.9164,101.23,7,14,1.05,few clouds
103,Coquimbo,CL,-29.9533,-71.3436,60.53,67,0,9.22,clear sky
104,Labuhan,ID,-6.8844,112.2051,81.7,74,90,8.41,overcast clouds
105,Galdar,ES,28.147,-15.6502,77.5,66,18,9.6,few clouds
106,Markova,UA,48.6758,24.4138,53.19,76,100,6.44,overcast clouds
107,Bagan,RU,54.1001,77.6646,36.82,82,58,7.02,broken clouds
108,Katima Mulilo,NA,-17.5,24.2667,87.6,16,30,5.68,scattered clouds
109,Usinsk,RU,65.9939,57.5281,39.47,83,100,7.52,overcast clouds
110,Vaini,TO,-21.2,-175.2,71.76,88,75,4.61,light rain
111,Pevek,RU,69.7008,170.3133,28.18,96,100,3.02,light snow
112,Katsuura,JP,35.1333,140.3,73.51,84,93,7.7,overcast clouds
113,Khandyga,RU,62.6667,135.6,37.15,81,14,1.68,few clouds
114,San Patricio,US,28.017,-97.5169,82.87,35,3,6.73,clear sky
115,Tiksi,RU,71.6872,128.8694,36.81,95,100,21.63,light rain
116,Kodiak,US,57.79,-152.4072,44.11,81,90,14.97,moderate rain
117,Qandala,SO,11.472,49.8728,90.09,57,40,0.65,scattered clouds
118,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,75,10.36,broken clouds
119,Awjilah,LY,29.1081,21.2869,96.96,12,0,12.66,clear sky
120,Kahului,US,20.8947,-156.47,72.97,83,75,3.44,broken clouds
121,Kavaratti,IN,10.5669,72.642,82.51,77,75,16.4,broken clouds
122,Airai,TL,-8.9266,125.4092,58.01,80,96,1.92,overcast clouds
123,Lagoa,PT,39.05,-27.9833,69.03,65,56,10.71,broken clouds
124,Abu Samrah,SY,35.3029,37.1841,73.2,60,0,27.18,clear sky
125,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,38,12.93,scattered clouds
126,Mikhaylovka,RU,50.06,43.2379,50.67,71,100,4.9,overcast clouds
127,Wetaskiwin,CA,52.9668,-113.3687,48.79,51,100,12.17,overcast clouds
128,Santa Cruz,BO,-17.8,-63.1667,82.45,42,75,19.57,broken clouds
129,Rawson,AR,-43.3002,-65.1023,68.14,32,0,10.13,clear sky
130,Pisco,PE,-13.7,-76.2167,66.02,72,75,8.05,broken clouds
131,Hasaki,JP,35.7333,140.8333,72,74,97,12.33,overcast clouds
132,Omboue,GA,-1.5746,9.2618,79.74,75,84,10.83,broken clouds
133,Yamasaki,JP,35,134.55,62.2,84,79,4.76,broken clouds
134,Strezhevoy,RU,60.7333,77.5889,39.18,97,100,9.44,overcast clouds
135,Guerrero Negro,MX,27.9769,-114.0611,76.08,68,5,4.43,clear sky
136,Xining,CN,36.6167,101.7667,59.5,58,100,4.76,light rain
137,Carmen,MX,18.6333,-91.8333,82.44,74,20,0,few clouds
138,Srednekolymsk,RU,67.45,153.6833,35.26,70,100,5.53,overcast clouds
139,Lermontovka,RU,47.1453,134.3383,43.34,84,0,4.54,clear sky
140,Fortuna,US,40.5982,-124.1573,54.52,96,1,8.05,clear sky
141,Pangnirtung,CA,66.1451,-65.7125,35.6,64,75,13.8,broken clouds
142,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,77,75,12.66,volcanic ash
143,Illapel,CL,-31.6308,-71.1653,80.51,15,0,6.49,clear sky
144,Albany,US,42.6001,-73.9662,80.62,72,97,14.61,overcast clouds
145,Hilo,US,19.7297,-155.09,71.8,86,90,5.75,overcast clouds
146,Beian,NO,63.6559,9.5683,51.01,93,75,14.97,broken clouds
147,Chernyshevskiy,RU,63.0128,112.4714,38.05,87,98,2.57,overcast clouds
148,Mar Del Plata,AR,-38.0023,-57.5575,59.02,77,90,5.75,moderate rain
149,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.83,63,29,9.13,scattered clouds
150,Lebu,CL,-37.6167,-73.65,56.64,63,26,10.87,scattered clouds
151,Ambon,ID,-3.6954,128.1814,75.34,94,75,4.61,moderate rain
152,Monastyrshchina,RU,54.3496,31.838,41.54,94,100,4.61,overcast clouds
153,Kushikino,JP,31.7167,130.2667,71.62,79,36,5.99,scattered clouds
154,Nalut,LY,30.3333,10.85,97.65,8,25,4.68,scattered clouds
155,Kungurtug,RU,50.5994,97.5228,41.32,43,100,1.41,overcast clouds
156,Birin,NP,26.8865,88.0718,62.29,92,37,3.22,scattered clouds
157,Razole,IN,16.4833,81.8333,80.89,87,93,4.43,overcast clouds
158,Saint George,US,37.1041,-113.5841,77.54,24,1,3.44,clear sky
159,Tommot,RU,58.9564,126.2925,46.99,94,100,3.4,overcast clouds
160,Nome,US,64.5011,-165.4064,24.87,74,1,3.44,clear sky
161,Ahuimanu,US,21.4447,-157.8378,76.71,76,40,5.75,scattered clouds
162,Morant Bay,JM,17.8815,-76.4093,89.22,71,18,5.73,few clouds
163,Maxixe,MZ,-23.8597,35.3472,73.22,60,40,6.91,scattered clouds
164,Upernavik,GL,72.7868,-56.1549,26.65,75,68,7,broken clouds
165,Provideniya,RU,64.3833,-173.3,32.5,76,97,2.57,overcast clouds
166,Serabu,SL,7.7958,-12.0536,81.88,85,92,4.79,moderate rain
167,Oranjestad,AW,12.524,-70.027,89.55,66,20,19.57,few clouds
168,Glenwood Springs,US,39.5505,-107.3248,63.63,25,1,0,clear sky
169,College,US,64.8569,-147.8028,31.8,71,75,8.05,broken clouds
170,Juba,SS,4.8517,31.5825,82.18,51,50,4.25,scattered clouds
171,Chuy,UY,-33.6971,-53.4616,56.7,89,100,5.19,overcast clouds
172,Lubango,AO,-14.9172,13.4925,89.46,3,20,9.22,haze
173,Hwange,ZW,-18.3693,26.5019,82.94,29,55,6.96,broken clouds
174,Lorengau,PG,-2.0226,147.2712,79.72,83,96,9.95,overcast clouds
175,Ankang,CN,32.68,109.0172,72.21,94,98,1.39,overcast clouds
176,Sinnamary,GF,5.3833,-52.95,87.8,59,36,11.65,scattered clouds
177,Longyearbyen,SJ,78.2186,15.6401,46.24,61,40,4.61,scattered clouds
178,Sampang,ID,-7.1872,113.2394,82.35,78,96,8.61,overcast clouds
179,Kangaatsiaq,GL,68.3065,-53.4641,28.96,77,81,4.45,broken clouds
180,Altay,CN,47.8667,88.1167,45.79,37,93,4.56,light rain
181,Ponta Do Sol,PT,32.6667,-17.1,75.83,74,100,5.68,overcast clouds
182,Zhigansk,RU,66.7697,123.3711,40.6,76,99,5.01,overcast clouds
183,Bud,US,39.447,-86.1758,61.83,77,78,14.05,broken clouds
184,Lahij,YE,13.1667,44.5833,92.07,38,9,4.65,clear sky
185,Uvat,RU,59.1433,68.8953,40.03,91,91,6.17,overcast clouds
186,Torbay,CA,47.6666,-52.7314,71.28,73,75,12.66,broken clouds
187,Cherskiy,RU,68.75,161.3,28.54,97,100,5.17,light snow
188,Cidreira,BR,-30.1811,-50.2056,64.29,68,74,21.32,broken clouds
189,Guiratinga,BR,-16.3494,-53.7583,106.32,12,0,3.89,clear sky
190,Kruisfontein,ZA,-34.0033,24.7314,67.89,62,84,22.82,broken clouds
191,Mujiayingzi,CN,42.1167,118.7833,58.93,89,79,2.42,broken clouds
192,Georgetown,MY,5.4112,100.3354,82.89,81,20,0,few clouds
193,Salinopolis,BR,-0.6136,-47.3561,86.63,61,69,11.03,broken clouds
194,Darovskoy,RU,58.77,47.9564,45.82,85,100,7.31,overcast clouds
195,Cockburn Town,TC,21.4612,-71.1419,82.72,73,89,3.38,overcast clouds
196,Port Macquarie,AU,-31.4333,152.9167,49.96,100,0,3.44,clear sky
197,Raga,SS,8.4596,25.678,80.87,71,55,3.15,broken clouds
198,Kaitangata,NZ,-46.2817,169.8464,47.61,92,58,15.59,broken clouds
199,Eureka,US,40.8021,-124.1637,54.79,89,98,3.65,overcast clouds
200,Moranbah,AU,-22.0016,148.0466,57.13,76,0,7.36,clear sky
201,Burley,US,42.5357,-113.7928,57.16,51,20,6.91,few clouds
202,Cervo,ES,43.6702,-7.4101,72.19,82,95,13.49,overcast clouds
203,Saldanha,ZA,-33.0117,17.9442,66.25,85,15,6.91,few clouds
204,Acarau,BR,-2.8856,-40.12,88.48,55,49,18.77,scattered clouds
205,Olinda,BR,-8.0089,-34.8553,82.13,61,40,10.36,scattered clouds
206,Lilongwe,MW,-13.9669,33.7873,73.6,49,0,11.5,clear sky
207,Deputatskiy,RU,69.3,139.9,32.47,85,100,3.96,overcast clouds
208,Marsh Harbour,BS,26.5412,-77.0636,85.26,66,66,8.97,broken clouds
209,Inverness,GB,57.4791,-4.224,57.11,62,20,5.75,few clouds
210,Kulhudhuffushi,MV,6.6221,73.07,82.99,76,24,17.58,few clouds
211,Nizhniy Kuranakh,RU,58.8353,125.4869,47.46,81,100,5.19,overcast clouds
212,Karla,EE,59.3723,24.9275,50.58,69,75,16.11,broken clouds
213,Biak,ID,-0.9131,122.8766,74.3,90,89,5.48,overcast clouds
214,Kutum,SD,14.2,24.6667,87.69,21,92,5.84,overcast clouds
215,Cabo San Lucas,MX,22.8909,-109.9124,87.15,79,1,0,clear sky
216,Souillac,MU,-20.5167,57.5167,73.78,73,75,10.36,broken clouds
217,Tateyama,JP,34.9833,139.8667,73.42,79,100,12.8,overcast clouds
218,Kudahuvadhoo,MV,2.6708,72.8944,83.14,76,70,18.1,broken clouds
219,Vardo,NO,70.3705,31.1107,46.6,71,0,24.16,clear sky
220,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,44,13.31,scattered clouds
221,Tripoli,LY,32.8752,13.1875,82.47,70,61,16.35,broken clouds
222,Kiomboi,TZ,-4.2667,34.3667,75.97,33,100,10.07,overcast clouds
223,Lavrentiya,RU,65.5833,-171,30.69,68,83,0.92,broken clouds
224,Hamilton,US,39.1834,-84.5333,62.73,77,90,1.01,overcast clouds
225,Yelan,RU,50.949,43.7378,49.12,86,100,3.62,overcast clouds
226,Lasa,IT,46.6166,10.7002,70.54,57,44,0.81,scattered clouds
227,Yumen,CN,40.2833,97.2,65.44,28,100,6.24,overcast clouds
228,Anadyr,RU,64.75,177.4833,32.5,100,90,2.24,snow
229,Cosala,MX,24.4125,-106.6908,82.51,60,15,1.14,few clouds
230,Half Moon Bay,US,37.4636,-122.4286,69.78,91,90,0,fog
231,Guaruja,BR,-23.9931,-46.2564,74.8,49,75,9.22,broken clouds
232,Hami,CN,42.8,93.45,69.87,18,70,5.59,broken clouds
233,Isangel,VU,-19.55,169.2667,71.71,68,91,14.97,overcast clouds
234,Yenagoa,NG,4.9247,6.2642,76.84,92,100,2.06,overcast clouds
235,Bridlington,GB,54.0831,-0.1919,65.89,77,87,8.28,overcast clouds
236,Bay Roberts,CA,47.5999,-53.2648,72.05,71,6,5.99,clear sky
237,Jalu,LY,29.0331,21.5482,97.05,12,0,13.27,clear sky
238,Hofn,IS,64.2539,-15.2082,39.22,81,90,3.44,mist
239,Bambanglipuro,ID,-7.95,110.2833,77.25,86,93,7.52,overcast clouds
240,Loa Janan,ID,-0.583,117.095,73.67,95,84,0.43,broken clouds
241,Tuatapere,NZ,-46.1333,167.6833,47.82,79,68,13.78,broken clouds
242,Seoul,KR,37.5683,126.9778,65.59,85,0,2.3,clear sky
243,Tadine,NC,-21.55,167.8833,66.42,63,29,15.23,scattered clouds
244,Vagay,RU,57.9375,69.0217,38.21,91,74,4.68,broken clouds
245,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,52,57,13.94,broken clouds
246,Orodara,BF,10.9492,-4.9342,88.18,51,43,4.25,scattered clouds
247,Neiafu,TO,-18.65,-173.9833,74.08,94,75,2.3,light intensity shower rain
248,Yelizovo,RU,53.1873,158.3805,44.74,93,20,4.47,few clouds
249,Vao,NC,-22.6667,167.4833,66.49,59,2,16.53,clear sky
250,Ossora,RU,59.2353,163.0719,44.1,85,72,5.06,broken clouds
251,Egvekinot,RU,66.3167,-179.1667,24.78,96,100,2.71,light snow
252,Zheleznodorozhnyy,RU,55.7503,38.0042,52.02,96,99,3.65,light rain
253,Achhnera,IN,27.1833,77.7667,84.2,69,92,7.18,overcast clouds
254,Mitsamiouli,KM,-11.3847,43.2844,80.89,74,20,10.36,few clouds
255,Tulun,RU,54.5611,100.5792,41.65,84,100,6.38,overcast clouds
256,Grindavik,IS,63.8424,-22.4338,43.27,87,90,21.85,overcast clouds
257,Itarema,BR,-2.9248,-39.9167,88.03,55,43,17.54,scattered clouds
258,Sitka,US,57.0531,-135.33,51.69,71,90,24.16,light rain
259,Tottori,JP,35.5,134.2333,66.09,82,99,4.94,overcast clouds
260,Guarapari,BR,-20.6667,-40.4975,75.09,56,74,12.41,broken clouds
261,Tuktoyaktuk,CA,69.4541,-133.0374,32,86,90,10.36,light snow
262,Saint-Augustin,CA,51.226,-58.6502,49.89,88,100,8.43,overcast clouds
263,Rio Claro,BR,-22.4114,-47.5614,80.42,30,22,5.77,few clouds
264,Alice Springs,AU,-23.7,133.8833,51.35,30,6,5.75,clear sky
265,Ancud,CL,-41.8697,-73.8203,55.42,68,97,8.66,overcast clouds
266,Yuzhou,CN,34.1628,113.4639,75.47,79,100,7.43,light rain
267,Olyka,UA,50.7186,25.8125,53.94,76,100,10.85,overcast clouds
268,Gat,IL,31.61,34.7642,79.81,19,0,11.48,clear sky
269,Castenaso,IT,44.5089,11.4698,75.16,43,0,3,clear sky
270,Mayo,US,38.8876,-76.5119,67.95,94,90,1.01,overcast clouds
271,Maningrida,AU,-12.0667,134.2667,73.18,71,100,8.81,overcast clouds
272,Shakawe,BW,-18.3667,21.85,90.64,11,34,7.29,scattered clouds
273,Apeldoorn,NL,52.21,5.9694,66.54,77,75,9.22,broken clouds
274,Dukat,RU,62.55,155.55,32.54,87,26,2.64,scattered clouds
275,Emborion,GR,40.4833,21.55,63.66,31,0,4.92,clear sky
276,Mwinilunga,ZM,-11.7358,24.4293,83.19,17,81,8.37,broken clouds
277,Natal,BR,-5.795,-35.2094,91.62,55,40,17.27,scattered clouds
278,Hannibal,US,39.7084,-91.3585,68.92,37,1,6.91,clear sky
279,Lompoc,US,34.6391,-120.4579,60.48,97,90,4.61,mist
280,Weiser,US,44.251,-116.9693,61.48,50,98,2.68,overcast clouds
281,Dickinson,US,29.4608,-95.0513,80.19,48,1,1.99,clear sky
282,Hit,IQ,33.6416,42.8251,89.87,19,0,11.07,clear sky
283,Yamada,JP,39.4667,141.95,64.22,87,1,6.4,clear sky
284,Tamandare,BR,-8.7597,-35.1047,83.05,62,33,9.17,scattered clouds
285,Show Low,US,34.2542,-110.0298,75.72,36,1,11.5,clear sky
286,Annau,TM,37.8876,58.516,87.3,16,0,9.22,clear sky
287,Cayenne,GF,4.9333,-52.3333,91.44,69,40,3,scattered clouds
288,Miri,MY,4.4148,114.0089,78.94,94,40,5.75,scattered clouds
289,Bereznik,RU,62.8551,42.7072,45.91,88,100,7.58,overcast clouds
290,Alyangula,AU,-13.8483,136.4192,64.27,88,27,0,scattered clouds
291,Brigantine,US,39.4101,-74.3646,82.04,80,75,25.32,broken clouds
292,Lock Haven,US,41.137,-77.4469,68.85,94,98,4,overcast clouds
293,Lavello,IT,41.0456,15.7908,68.77,37,57,9.15,broken clouds
294,Sobolevo,RU,54.4299,31.8996,41.47,95,100,4.79,overcast clouds
295,Oranjemund,NA,-28.55,16.4333,60.33,77,1,11.77,clear sky
296,Exeter,GB,50.7236,-3.5275,69.12,86,94,11.86,overcast clouds
297,Indramayu,ID,-6.3264,108.32,81.23,80,51,10.09,broken clouds
298,Palmer,US,42.1584,-72.3287,80.15,66,75,7,broken clouds
299,Zyryanka,RU,65.75,150.85,34.52,73,10,5.97,clear sky
300,Maceio,BR,-9.6658,-35.7353,89.04,62,75,11.5,broken clouds
301,Port Hedland,AU,-20.3167,118.5667,68.05,64,95,2.3,overcast clouds
302,Gornopravdinsk,RU,60.05,69.9,36.43,91,81,4.18,broken clouds
303,New Norfolk,AU,-42.7826,147.0587,50.92,69,50,1.99,scattered clouds
304,Terracina,IT,41.2863,13.2217,80.83,63,7,8.59,clear sky
305,Grand Gaube,MU,-20.0064,57.6608,73.8,71,3,11.99,clear sky
306,Rovaniemi,FI,66.5,25.7167,42.21,70,0,13.8,clear sky
307,Inuvik,CA,68.3499,-133.7218,31.21,100,75,2.3,light snow
308,Naze,JP,28.3667,129.4833,75.67,69,0,8.01,clear sky
309,Nioro,GM,13.35,-15.75,88.97,64,79,4.43,broken clouds
310,Sindor,RU,62.8629,51.8905,41.02,86,7,4.9,clear sky
311,Te Anau,NZ,-45.4167,167.7167,43.93,80,74,8.52,broken clouds
312,Coolum Beach,AU,-26.5333,153.1,57.34,90,10,6.13,clear sky
313,Mengcheng,CN,33.2579,116.5655,72.12,68,73,8.3,light rain
314,Nuuk,GL,64.1835,-51.7216,33.1,40,8,8.46,clear sky
315,Sao Filipe,CV,14.8961,-24.4956,80.24,74,21,5.7,few clouds
316,Vilhena,BR,-12.7406,-60.1458,101.59,17,25,4.25,scattered clouds
317,Beloha,MG,-25.1667,45.05,67.05,78,47,15.26,scattered clouds
318,Mnogovershinnyy,RU,53.9353,139.9242,38.73,97,34,3.47,scattered clouds
319,Hendek,TR,40.7994,30.7481,53.92,93,100,3.22,overcast clouds
320,Upata,VE,8.0086,-62.3989,87.26,54,10,5.39,clear sky
321,Nanlong,CN,31.3533,106.0631,72.77,94,58,6.38,broken clouds
322,Somerville,US,42.3876,-71.0995,80.28,72,75,1.99,broken clouds
323,Leningradskiy,RU,69.3833,178.4167,24.42,95,100,5.75,overcast clouds
324,Nelson Bay,AU,-32.7167,152.15,59.09,75,0,11.3,clear sky
325,Port Lincoln,AU,-34.7333,135.8667,53.94,88,0,9.24,clear sky
326,Kendari,ID,-3.945,122.4989,71.78,95,99,2.68,light rain
327,Shepsi,RU,44.0361,39.1489,59.65,79,100,10.58,light rain
328,Komsomolskiy,UZ,40.4272,71.7189,70.52,32,0,6.91,clear sky
329,Kurchum,KZ,48.5722,83.6542,44.82,44,2,9.71,clear sky
330,Fukue,JP,32.6881,128.8419,74.84,62,37,9.69,scattered clouds
331,Seymchan,RU,62.8833,152.4333,35.94,84,14,1.97,few clouds
332,Glazov,RU,58.1394,52.6584,48.81,69,95,6.06,overcast clouds
333,Kupino,RU,54.3663,77.2981,37.45,74,78,7.74,broken clouds
334,Sidlaghatta,IN,13.3881,77.8628,76.89,73,100,9.57,overcast clouds
335,Marystown,CA,47.1666,-55.1483,65.95,78,26,13.65,scattered clouds
336,Assiniboia,CA,49.6334,-105.9845,57.11,54,72,9.22,broken clouds
337,Bubaque,GW,11.2833,-15.8333,82.44,72,100,5.79,overcast clouds
338,Batticaloa,LK,7.7102,81.6924,83.53,79,99,6.11,overcast clouds
339,Dinguiraye,GN,11.3,-10.7167,84.43,61,82,2.33,broken clouds
340,Noshiro,JP,40.2039,140.0242,67.51,87,36,10.98,scattered clouds
341,Kamenka,RU,51.3223,42.7678,50.2,64,100,1.79,overcast clouds
342,Batagay-Alyta,RU,67.8006,130.4114,32.04,77,73,5.17,broken clouds
